Cmd #30   '>'	Ptr: 3    	Tape:   6  35  50 [12]   4   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #31   '+'	Ptr: 3    	Tape:   6  35  50 [13]   4   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #32   '+'	Ptr: 3    	Tape:   6  35  50 [14]   4   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #33   '+'	Ptr: 3    	Tape:   6  35  50 [15]   4   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #34   '>'	Ptr: 4    	Tape:  35  50  15 [4]   0   0   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #35   '+'	Ptr: 4    	Tape:  35  50  15 [5]   0   0   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #36   '<'	Ptr: 3    	Tape:   6  35  50 [15]   5   0   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #37   '<'	Ptr: 2    	Tape: [50]  15   5   0	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #38   '<'	Ptr: 1    	Tape: [35]  50  15   5	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #39   '<'	Ptr: 0    	Tape: [6]  35  50  15	Output: 	Desc: Move o ponteiro para a esquerda.
Cmd #40   '-'	Ptr: 0    	Tape: [5]  35  50  15	Output: 	Desc: Decrementa o valor na célula atual.
Cmd #10   ']'	Ptr: 0    	Tape: [5]  35  50  15	Output: 	Desc: Volta para o início do loop se o valor da célula atual não for zero.
Cmd #10   '['	Ptr: 0    	Tape: [5]  35  50  15	Output: 	Desc: Entra no loop se o valor da célula atual não for zero.
Cmd #11   '>'	Ptr: 1    	Tape: [35]  50  15   5	Output: 	Desc: Move o ponteiro para a direita.
Cmd #12   '+'	Ptr: 1    	Tape: [36]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #13   '+'	Ptr: 1    	Tape: [37]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #14   '+'	Ptr: 1    	Tape: [38]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #15   '+'	Ptr: 1    	Tape: [39]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #16   '+'	Ptr: 1    	Tape: [40]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #17   '+'	Ptr: 1    	Tape: [41]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #18   '+'	Ptr: 1    	Tape: [42]  50  15   5	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #19   '>'	Ptr: 2    	Tape: [50]  15   5   0	Output: 	Desc: Move o ponteiro para a direita.
Cmd #20   '+'	Ptr: 2    	Tape: [51]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #21   '+'	Ptr: 2    	Tape: [52]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #22   '+'	Ptr: 2    	Tape: [53]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #23   '+'	Ptr: 2    	Tape: [54]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #24   '+'	Ptr: 2    	Tape: [55]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #25   '+'	Ptr: 2    	Tape: [56]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #26   '+'	Ptr: 2    	Tape: [57]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
Cmd #27   '+'	Ptr: 2    	Tape: [58]  15   5   0	Output: 	Desc: Incrementa o valor na célula atual.
